pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_25448_/A1,62343,62793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25448_,_05932_,2.0792595076257747e-11,4.098384409623179e-10,8.013050778465924e-10,8.22055479243744e-10,6.108139871107972e-16
_25448_/A2,62397,62793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25448_,_06204_,8.92343317293598e-12,4.2078857065419584e-10,7.992539408085975e-10,8.066621259850137e-10,6.495910495569806e-16
_25448_/B1,62505,62793,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25448_,_06205_,6.903846418160331e-12,4.1867648237214894e-10,8.013810171014768e-10,8.086469827084386e-10,5.632029533599026e-16
_25448_/B2,62443,62741,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25448_,_05921_,1.9226819789053273e-11,4.2558478963172774e-10,7.927057898982071e-10,7.867071438738549e-10,6.182060436414854e-16
_25448_/Y,62137,62775,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_25448_,_06206_,1.3513704912038182e-11,4.0983849647346915e-10,8.250777283613786e-10,8.450903310475155e-10,-1
_25449_/A,62289,51705,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25449_,_06200_,1.0274976182389484e-11,4.956351995488717e-10,7.287414005574533e-10,7.631000276120403e-10,6.415209960915745e-16
_25449_/B,62235,51723,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25449_,_06201_,7.386220975125202e-12,4.844218914890064e-10,7.339474583645256e-10,7.743654051317606e-10,5.99309003286038e-16
_25449_/C,62181,51723,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25449_,_06203_,1.1454566462010263e-11,5.122794410894471e-10,7.285420045022306e-10,7.386765088490677e-10,5.961199771791848e-16
_25449_/D,62127,51741,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25449_,_06206_,1.3591273939628223e-11,4.0983849647346915e-10,8.256367811654286e-10,8.456462197159453e-10,6.132890173826742e-16
_25449_/Y,61993,51705,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_25449_,_06207_,2.8237584145940353e-11,4.098384409623179e-10,8.662219830313234e-10,8.695161812788399e-10,-1
_25450_/A1,57273,44685,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25450_,_06098_,1.818974137979268e-11,7.822020253733797e-10,5.42787537138878e-10,5.235152866767123e-10,1.198910021180642e-15
_25450_/A2,57311,44705,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_25450_,_06198_,1.2587299258459694e-11,7.123286405175122e-10,5.868306951484215e-10,5.984431838967907e-10,1.334960029652154e-15
