src,tar,src_type,tar_type
_000084_,_084785_/A1,net,pin
_000084_,_084767_/B,net,pin
_127535_/SN,_000085_,pin,net
_000085_,_084807_/A,net,pin
_000085_,_084796_/A2,net,pin
_000085_,_084794_/B,net,pin
_000085_,_084784_/A,net,pin
_127534_/CON,_000086_,pin,net
_000086_,_084796_/A1,net,pin
_000086_,_084785_/B,net,pin
_127536_/SN,_000087_,pin,net
_000087_,_084829_/A,net,pin
_000087_,_084814_/A2,net,pin
_000087_,_084807_/B,net,pin
_000087_,_084792_/A,net,pin
_127535_/CON,_000088_,pin,net
_000088_,_084814_/A1,net,pin
_000088_,_084796_/B,net,pin
_127537_/SN,_000089_,pin,net
_000089_,_084837_/A,net,pin
_000089_,_084830_/A2,net,pin
_000089_,_084829_/B,net,pin
_000089_,_084821_/A1,net,pin
_000089_,_084820_/A1,net,pin
_127536_/CON,_000090_,pin,net
_000090_,_084830_/A1,net,pin
_000090_,_084814_/B,net,pin
_127538_/SN,_000091_,pin,net
_000091_,_084856_/A2,net,pin
_000091_,_084849_/B,net,pin
_000091_,_084838_/A2,net,pin
_000091_,_084837_/B,net,pin
_000091_,_084828_/A,net,pin
_127537_/CON,_000092_,pin,net
_000092_,_084838_/A1,net,pin
_000092_,_084830_/B,net,pin
_127539_/SN,_000093_,pin,net
_000093_,_084865_/A,net,pin
_000093_,_084857_/A2,net,pin
_000093_,_084849_/C,net,pin
_000093_,_084841_/B,net,pin
_000093_,_084840_/A,net,pin
_127538_/CON,_000094_,pin,net
_000094_,_084856_/B,net,pin
_000094_,_084838_/B,net,pin
_127540_/SN,_000095_,pin,net
_000095_,_084865_/B,net,pin
_000095_,_084859_/A,net,pin
_127539_/CON,_000096_,pin,net
_000096_,_084868_/A,net,pin
_000096_,_084857_/B,net,pin
_127540_/CON,_000097_,pin,net
_000097_,_084869_/A,net,pin
_127542_/SN,_000098_,pin,net
_000098_,_084408_/B,net,pin
_127543_/SN,_000099_,pin,net
_000099_,_084410_/A1,net,pin
_000099_,_084408_/A,net,pin
_000099_,_084402_/A,net,pin
_127542_/CON,_000100_,pin,net
_000100_,_084410_/A2,net,pin
_127544_/SN,_000101_,pin,net
_000101_,_084427_/A,net,pin
_000101_,_084420_/A1,net,pin
_000101_,_084418_/A2,net,pin
_000101_,_084413_/B,net,pin
_127543_/CON,_000102_,pin,net
_000102_,_084418_/A1,net,pin
_000102_,_084410_/B,net,pin
_127545_/SN,_000103_,pin,net
_000103_,_084429_/A2,net,pin
_000103_,_084427_/B,net,pin
_000103_,_084417_/A,net,pin
_127544_/CON,_000104_,pin,net
_000104_,_084429_/A1,net,pin
_000104_,_084418_/B,net,pin
_127546_/SN,_000105_,pin,net
_000105_,_084447_/A,net,pin
_000105_,_084438_/A,net,pin
_000105_,_084432_/B,net,pin
_127545_/CON,_000106_,pin,net
_000106_,_084436_/A,net,pin
_000106_,_084429_/B,net,pin
_127547_/SN,_000107_,pin,net
_000107_,_084458_/A,net,pin
_000107_,_084447_/B,net,pin
_000107_,_084441_/A,net,pin
_127546_/CON,_000108_,pin,net
_000108_,_084439_/A,net,pin
_127548_/SN,_000109_,pin,net
_000109_,_084489_/A,net,pin
_000109_,_084458_/B,net,pin
_000109_,_084446_/A,net,pin
_127547_/CON,_000110_,pin,net
_000110_,_084449_/A,net,pin
_127549_/SN,_000111_,pin,net
_000111_,_084489_/B,net,pin
_000111_,_084470_/B,net,pin
_000111_,_084465_/A,net,pin
_127548_/CON,_000112_,pin,net
_000112_,_084470_/A2,net,pin
_000112_,_084461_/A,net,pin
_127550_/SN,_000113_,pin,net
_000113_,_084488_/A,net,pin
_000113_,_084472_/A,net,pin
_127549_/CON,_000114_,pin,net
_000114_,_084479_/A,net,pin
_000114_,_084471_/A,net,pin
_127551_/SN,_000115_,pin,net
_000115_,_084500_/A,net,pin
_000115_,_084488_/B,net,pin
_000115_,_084478_/A,net,pin
_127550_/CON,_000116_,pin,net
_000116_,_084481_/A,net,pin
_127552_/SN,_000117_,pin,net
_000117_,_084514_/A,net,pin
_000117_,_084502_/A,net,pin
_000117_,_084500_/B,net,pin
_000117_,_084497_/B,net,pin
_000117_,_084496_/B,net,pin
_127551_/CON,_000118_,pin,net
_000118_,_084491_/A,net,pin
_127553_/SN,_000119_,pin,net
_000119_,_084518_/A,net,pin
_000119_,_084514_/B,net,pin
_000119_,_084510_/B,net,pin
_000119_,_084509_/B,net,pin
_127552_/CON,_000120_,pin,net
_000120_,_084504_/A,net,pin
_127553_/CON,_000121_,pin,net
_000121_,_084519_/A,net,pin
_127555_/SN,_000122_,pin,net
_000122_,_084145_/B,net,pin
_127556_/SN,_000123_,pin,net
_000123_,_084146_/A1,net,pin
_000123_,_084145_/A,net,pin
_000123_,_084110_/A,net,pin
_127555_/CON,_000124_,pin,net
_000124_,_084146_/A2,net,pin
_127557_/SN,_000125_,pin,net
_000125_,_084314_/A1,net,pin
_000125_,_084113_/A2,net,pin
_000125_,_084112_/A,net,pin
_127556_/CON,_000126_,pin,net
_000126_,_084146_/B,net,pin
_000126_,_084113_/A1,net,pin
_127558_/SN,_000127_,pin,net
_000127_,_084320_/A1,net,pin
_000127_,_084149_/A2,net,pin
_000127_,_084141_/A,net,pin
_000127_,_084115_/A,net,pin
_127557_/CON,_000128_,pin,net
_000128_,_084149_/A1,net,pin
_000128_,_084113_/B,net,pin
_127559_/SN,_000129_,pin,net
_000129_,_084323_/A2,net,pin
_000129_,_084140_/A,net,pin
_000129_,_084119_/A,net,pin
_000129_,_084115_/B,net,pin
_127558_/CON,_000130_,pin,net
_000130_,_084149_/B,net,pin
_000130_,_084118_/A,net,pin
_127560_/SN,_000131_,pin,net
_000131_,_084152_/A,net,pin
_000131_,_084140_/B,net,pin
_000131_,_084116_/A,net,pin
_127559_/CON,_000132_,pin,net
_000132_,_084120_/A,net,pin
_127561_/SN,_000133_,pin,net
_000133_,_084138_/A,net,pin
_000133_,_084123_/A,net,pin
_000133_,_084116_/B,net,pin
_127560_/CON,_000134_,pin,net
_000134_,_084122_/A,net,pin
_127562_/SN,_000135_,pin,net
_000135_,_084336_/A1,net,pin
_000135_,_084335_/A1,net,pin
_000135_,_084157_/A2,net,pin
_000135_,_084138_/B,net,pin
_000135_,_084128_/A,net,pin
_127561_/CON,_000136_,pin,net
_000136_,_084157_/A1,net,pin
_000136_,_084124_/A,net,pin
_127563_/SN,_000137_,pin,net
_000137_,_084342_/A1,net,pin
_000137_,_084341_/A1,net,pin
_000137_,_084137_/A,net,pin
_000137_,_084129_/A2,net,pin
_000137_,_084128_/B,net,pin
_127562_/CON,_000138_,pin,net
_000138_,_084157_/B,net,pin
_000138_,_084129_/A1,net,pin
_127564_/SN,_000139_,pin,net
_000139_,_084167_/A,net,pin
_000139_,_084158_/A2,net,pin
_000139_,_084137_/B,net,pin
_000139_,_084134_/A1,net,pin
_000139_,_084133_/A1,net,pin
_127563_/CON,_000140_,pin,net
_000140_,_084158_/A1,net,pin
_000140_,_084129_/B,net,pin
_121003_/CON,_000141_,pin,net
_000141_,_084308_/A,net,pin
_000141_,_084192_/A1,net,pin
_000141_,_084111_/B,net,pin
_127565_/SN,_000142_,pin,net
_000142_,_084175_/A,net,pin
_000142_,_084168_/A2,net,pin
_000142_,_084167_/B,net,pin
_000142_,_084162_/B,net,pin
_000142_,_084161_/B,net,pin
_127564_/CON,_000143_,pin,net
_000143_,_084168_/A1,net,pin
_000143_,_084158_/B,net,pin
_127566_/SN,_000144_,pin,net
_000144_,_084166_/A,net,pin
_127565_/CON,_000145_,pin,net
_000145_,_084182_/A1,net,pin
_000145_,_084168_/B,net,pin
_127567_/SN,_000146_,pin,net
_000146_,_084210_/A,net,pin
_000146_,_084199_/A2,net,pin
_000146_,_084195_/B,net,pin
_000146_,_084180_/A,net,pin
_127566_/CON,_000147_,pin,net
_000147_,_084199_/A1,net,pin
_000147_,_084182_/B,net,pin
_127568_/SN,_000148_,pin,net
_000148_,_084223_/A,net,pin
_000148_,_084210_/B,net,pin
_000148_,_084209_/A2,net,pin
_000148_,_084203_/B,net,pin
_000148_,_084202_/B,net,pin
_127567_/CON,_000149_,pin,net
_000149_,_084209_/A1,net,pin
_000149_,_084199_/B,net,pin
_127569_/SN,_000150_,pin,net
_000150_,_084237_/A,net,pin
_000150_,_084225_/A2,net,pin
_000150_,_084223_/B,net,pin
_000150_,_084208_/A,net,pin
_127568_/CON,_000151_,pin,net
_000151_,_084225_/A1,net,pin
_000151_,_084209_/B,net,pin
_127570_/SN,_000152_,pin,net
_000152_,_084256_/A,net,pin
_000152_,_084244_/A2,net,pin
_000152_,_084237_/B,net,pin
_000152_,_084221_/A,net,pin
_127569_/CON,_000153_,pin,net
_000153_,_084244_/A1,net,pin
_000153_,_084225_/B,net,pin
_127571_/SN,_000154_,pin,net
_000154_,_084263_/A,net,pin
_000154_,_084257_/A2,net,pin
_000154_,_084256_/B,net,pin
_000154_,_084251_/A1,net,pin
_000154_,_084250_/A1,net,pin
_127570_/CON,_000155_,pin,net
_000155_,_084257_/A1,net,pin
_000155_,_084244_/B,net,pin
_127572_/SN,_000156_,pin,net
_000156_,_084280_/A2,net,pin
_000156_,_084275_/B,net,pin
_000156_,_084264_/A2,net,pin
_000156_,_084263_/B,net,pin
_000156_,_084255_/A,net,pin
_127571_/CON,_000157_,pin,net
_000157_,_084264_/A1,net,pin
_000157_,_084257_/B,net,pin
_127573_/SN,_000158_,pin,net
_000158_,_084292_/A,net,pin
_000158_,_084281_/A2,net,pin
_000158_,_084275_/C,net,pin
_000158_,_084267_/B,net,pin
_000158_,_084266_/A,net,pin
_127572_/CON,_000159_,pin,net
_000159_,_084280_/B,net,pin
_000159_,_084264_/B,net,pin
_127574_/SN,_000160_,pin,net
_000160_,_084292_/B,net,pin
_000160_,_084286_/A,net,pin
_000160_,_084285_/B,net,pin
_127573_/CON,_000161_,pin,net
_000161_,_084296_/A,net,pin
_000161_,_084281_/B,net,pin
_127574_/CON,_000162_,pin,net
_000162_,_084297_/A,net,pin
_127576_/SN,_000163_,pin,net
_000163_,_083702_/B,net,pin
_127577_/SN,_000164_,pin,net
_000164_,_083703_/A1,net,pin
_000164_,_083702_/A,net,pin
_000164_,_083669_/A,net,pin
_127576_/CON,_000165_,pin,net
_000165_,_083703_/A2,net,pin
_127578_/SN,_000166_,pin,net
_000166_,_083874_/A1,net,pin
_000166_,_083672_/A2,net,pin
_000166_,_083671_/A,net,pin
_127577_/CON,_000167_,pin,net
_000167_,_083703_/B,net,pin
_000167_,_083672_/A1,net,pin
_127579_/SN,_000168_,pin,net
_000168_,_083879_/A1,net,pin
_000168_,_083706_/A2,net,pin
_000168_,_083698_/A,net,pin
_000168_,_083674_/A,net,pin
_127578_/CON,_000169_,pin,net
_000169_,_083706_/A1,net,pin
_000169_,_083672_/B,net,pin
_127580_/SN,_000170_,pin,net
_000170_,_083883_/A2,net,pin
_000170_,_083697_/A,net,pin
_000170_,_083678_/A,net,pin
_000170_,_083674_/B,net,pin
_127579_/CON,_000171_,pin,net
_000171_,_083706_/B,net,pin
_000171_,_083677_/A,net,pin
_127581_/SN,_000172_,pin,net
_000172_,_083709_/A,net,pin
_000172_,_083697_/B,net,pin
_000172_,_083675_/A,net,pin
_127580_/CON,_000173_,pin,net
_000173_,_083679_/A,net,pin
_127582_/SN,_000174_,pin,net
_000174_,_083695_/A,net,pin
_000174_,_083682_/A,net,pin
_000174_,_083675_/B,net,pin
_127581_/CON,_000175_,pin,net
_000175_,_083681_/A,net,pin
_127583_/SN,_000176_,pin,net
_000176_,_083897_/A1,net,pin
_000176_,_083896_/A1,net,pin
_000176_,_083714_/A2,net,pin
_000176_,_083695_/B,net,pin
_000176_,_083687_/A,net,pin
_127582_/CON,_000177_,pin,net
_000177_,_083714_/A1,net,pin
_000177_,_083683_/A,net,pin
_127584_/SN,_000178_,pin,net
_000178_,_083902_/A1,net,pin
_000178_,_083901_/A1,net,pin
_000178_,_083694_/A,net,pin
_000178_,_083688_/A2,net,pin
_000178_,_083687_/B,net,pin
_127583_/CON,_000179_,pin,net
_000179_,_083714_/B,net,pin
_000179_,_083688_/A1,net,pin
_127585_/SN,_000180_,pin,net
_000180_,_083725_/A,net,pin
_000180_,_083715_/A2,net,pin
_000180_,_083694_/B,net,pin
_000180_,_083691_/A1,net,pin
_000180_,_083690_/A1,net,pin
_127584_/CON,_000181_,pin,net
_000181_,_083715_/A1,net,pin
_000181_,_083688_/B,net,pin
_121004_/CON,_000182_,pin,net
_000182_,_083869_/A,net,pin
_000182_,_083750_/A1,net,pin
_000182_,_083670_/B,net,pin
_127586_/SN,_000183_,pin,net
_000183_,_083733_/A,net,pin
_000183_,_083726_/A2,net,pin
_000183_,_083725_/B,net,pin
_000183_,_083719_/B,net,pin
_000183_,_083718_/B,net,pin
_127585_/CON,_000184_,pin,net
_000184_,_083726_/A1,net,pin
_000184_,_083715_/B,net,pin
_127587_/SN,_000185_,pin,net
_000185_,_083724_/A,net,pin
_127586_/CON,_000186_,pin,net
_000186_,_083740_/A1,net,pin
_000186_,_083726_/B,net,pin
_127588_/SN,_000187_,pin,net
_000187_,_083769_/A,net,pin
_000187_,_083757_/A2,net,pin
_000187_,_083753_/B,net,pin
_000187_,_083738_/A,net,pin
_127587_/CON,_000188_,pin,net
_000188_,_083757_/A1,net,pin
_000188_,_083740_/B,net,pin
_127589_/SN,_000189_,pin,net
_000189_,_083779_/A,net,pin
_000189_,_083769_/B,net,pin
_000189_,_083768_/A2,net,pin
_000189_,_083761_/B,net,pin
_000189_,_083760_/B,net,pin
_127588_/CON,_000190_,pin,net
_000190_,_083768_/A1,net,pin
_000190_,_083757_/B,net,pin
_127590_/SN,_000191_,pin,net
_000191_,_083792_/A,net,pin
_000191_,_083781_/A2,net,pin
_000191_,_083779_/B,net,pin
_000191_,_083767_/A,net,pin
_127589_/CON,_000192_,pin,net
_000192_,_083781_/A1,net,pin
_000192_,_083768_/B,net,pin
_127591_/SN,_000193_,pin,net
_000193_,_083811_/A,net,pin
_000193_,_083799_/A2,net,pin
_000193_,_083792_/B,net,pin
_000193_,_083777_/A,net,pin
_127590_/CON,_000194_,pin,net
_000194_,_083799_/A1,net,pin
_000194_,_083781_/B,net,pin
_127592_/SN,_000195_,pin,net
_000195_,_083818_/A,net,pin
_000195_,_083812_/A2,net,pin
_000195_,_083811_/B,net,pin
_000195_,_083806_/A1,net,pin
_000195_,_083805_/A1,net,pin
_127591_/CON,_000196_,pin,net
_000196_,_083812_/A1,net,pin
_000196_,_083799_/B,net,pin
_127593_/SN,_000197_,pin,net
_000197_,_083837_/A2,net,pin
_000197_,_083832_/B,net,pin
_000197_,_083819_/A2,net,pin
_000197_,_083818_/B,net,pin
_000197_,_083810_/A,net,pin
_127592_/CON,_000198_,pin,net
