src,tar,src_type,tar_type
_073241_,_073241_/Y,cell,pin
_073242_/A,_073242_,pin,cell
_073242_,_073242_/Y,cell,pin
_073243_/A,_073243_,pin,cell
_073243_,_073243_/Y,cell,pin
_073244_/A,_073244_,pin,cell
_073244_,_073244_/Y,cell,pin
_073245_/A,_073245_,pin,cell
_073245_,_073245_/Y,cell,pin
_073246_/A,_073246_,pin,cell
_073246_,_073246_/Y,cell,pin
_073247_/A,_073247_,pin,cell
_073247_,_073247_/Y,cell,pin
_073248_/A,_073248_,pin,cell
_073248_,_073248_/Y,cell,pin
_073249_/A,_073249_,pin,cell
_073249_,_073249_/Y,cell,pin
_073250_/A,_073250_,pin,cell
_073250_,_073250_/Y,cell,pin
_073251_/A,_073251_,pin,cell
_073251_,_073251_/Y,cell,pin
_073252_/A,_073252_,pin,cell
_073252_,_073252_/Y,cell,pin
_073253_/A,_073253_,pin,cell
_073253_,_073253_/Y,cell,pin
_073254_/A,_073254_,pin,cell
_073254_,_073254_/Y,cell,pin
_073255_/A,_073255_,pin,cell
_073255_,_073255_/Y,cell,pin
_073256_/A,_073256_,pin,cell
_073256_,_073256_/Y,cell,pin
_073257_/A,_073257_,pin,cell
_073257_,_073257_/Y,cell,pin
_073258_/A,_073258_,pin,cell
_073258_,_073258_/Y,cell,pin
_073259_/A,_073259_,pin,cell
_073259_,_073259_/Y,cell,pin
_073260_/A,_073260_,pin,cell
_073260_,_073260_/Y,cell,pin
_073261_/A,_073261_,pin,cell
_073261_,_073261_/Y,cell,pin
_073262_/A,_073262_,pin,cell
_073262_,_073262_/Y,cell,pin
_073263_/A,_073263_,pin,cell
_073263_,_073263_/Y,cell,pin
_073264_/A,_073264_,pin,cell
_073264_,_073264_/Y,cell,pin
_073265_/A,_073265_,pin,cell
_073265_,_073265_/Y,cell,pin
_073266_/A,_073266_,pin,cell
_073266_,_073266_/Y,cell,pin
_073267_/A,_073267_,pin,cell
_073267_,_073267_/Y,cell,pin
_073268_/A,_073268_,pin,cell
_073268_,_073268_/Y,cell,pin
_073269_/A,_073269_,pin,cell
_073269_,_073269_/Y,cell,pin
_073270_/A,_073270_,pin,cell
_073270_,_073270_/Y,cell,pin
_073271_/A,_073271_,pin,cell
_073271_,_073271_/Y,cell,pin
_073272_/A,_073272_,pin,cell
_073272_,_073272_/Y,cell,pin
_073273_/A,_073273_,pin,cell
_073273_,_073273_/Y,cell,pin
_073274_/A,_073274_,pin,cell
_073274_,_073274_/Y,cell,pin
_073275_/A,_073275_,pin,cell
_073275_,_073275_/Y,cell,pin
_073276_/A,_073276_,pin,cell
_073276_,_073276_/Y,cell,pin
_073277_/A,_073277_,pin,cell
_073277_,_073277_/Y,cell,pin
_073278_/A,_073278_,pin,cell
_073278_,_073278_/Y,cell,pin
_073279_/A,_073279_,pin,cell
_073279_,_073279_/Y,cell,pin
_073280_/A,_073280_,pin,cell
_073280_,_073280_/Y,cell,pin
_073281_/A,_073281_,pin,cell
_073281_,_073281_/Y,cell,pin
_073282_/A,_073282_,pin,cell
_073282_,_073282_/Y,cell,pin
_073283_/A,_073283_,pin,cell
_073283_,_073283_/Y,cell,pin
_073284_/A,_073284_,pin,cell
_073284_,_073284_/Y,cell,pin
_073285_/A,_073285_,pin,cell
_073285_,_073285_/Y,cell,pin
_073286_/A,_073286_,pin,cell
_073286_,_073286_/Y,cell,pin
_073287_/A,_073287_,pin,cell
_073287_,_073287_/Y,cell,pin
_073288_/A,_073288_,pin,cell
_073288_,_073288_/Y,cell,pin
_073289_/A,_073289_,pin,cell
_073289_,_073289_/Y,cell,pin
_073290_/A,_073290_,pin,cell
_073290_,_073290_/Y,cell,pin
_073291_/A,_073291_,pin,cell
_073291_,_073291_/Y,cell,pin
_073292_/A,_073292_,pin,cell
_073292_,_073292_/Y,cell,pin
_073293_/A,_073293_,pin,cell
_073293_,_073293_/Y,cell,pin
_073294_/A,_073294_,pin,cell
_073294_,_073294_/Y,cell,pin
_073295_/A,_073295_,pin,cell
_073295_,_073295_/Y,cell,pin
_073296_/A,_073296_,pin,cell
_073296_,_073296_/Y,cell,pin
_073297_/A,_073297_,pin,cell
_073297_,_073297_/Y,cell,pin
_073298_/A,_073298_,pin,cell
_073298_,_073298_/Y,cell,pin
_073299_/A,_073299_,pin,cell
_073299_,_073299_/Y,cell,pin
_073300_/A,_073300_,pin,cell
_073300_,_073300_/Y,cell,pin
_073301_/A,_073301_,pin,cell
_073301_,_073301_/Y,cell,pin
_073302_/A,_073302_,pin,cell
_073302_,_073302_/Y,cell,pin
_073303_/A,_073303_,pin,cell
