src,tar,src_type,tar_type
_083254_,_083254_/ZN,cell,pin
_083255_/A,_083255_,pin,cell
_083255_,_083255_/Z,cell,pin
_083256_/A,_083256_,pin,cell
_083256_,_083256_/ZN,cell,pin
_083257_/A,_083257_,pin,cell
_083257_,_083257_/ZN,cell,pin
_083258_/A1,_083258_,pin,cell
_083258_/A2,_083258_,pin,cell
_083258_/A3,_083258_,pin,cell
_083258_,_083258_/ZN,cell,pin
_083259_/A1,_083259_,pin,cell
_083259_/A2,_083259_,pin,cell
_083259_/A3,_083259_,pin,cell
_083259_,_083259_/ZN,cell,pin
_083260_/A,_083260_,pin,cell
_083260_,_083260_/ZN,cell,pin
_083261_/A1,_083261_,pin,cell
_083261_/A2,_083261_,pin,cell
_083261_/A3,_083261_,pin,cell
_083261_,_083261_/ZN,cell,pin
_083262_/A1,_083262_,pin,cell
_083262_/A2,_083262_,pin,cell
_083262_/A3,_083262_,pin,cell
_083262_,_083262_/ZN,cell,pin
_083263_/A,_083263_,pin,cell
_083263_,_083263_/ZN,cell,pin
_083264_/A1,_083264_,pin,cell
_083264_/A2,_083264_,pin,cell
_083264_/B1,_083264_,pin,cell
_083264_/B2,_083264_,pin,cell
_083264_,_083264_/ZN,cell,pin
_083265_/A1,_083265_,pin,cell
_083265_/A2,_083265_,pin,cell
_083265_/A3,_083265_,pin,cell
_083265_,_083265_/ZN,cell,pin
_083266_/A,_083266_,pin,cell
_083266_/B,_083266_,pin,cell
_083266_/C1,_083266_,pin,cell
_083266_/C2,_083266_,pin,cell
_083266_,_083266_/ZN,cell,pin
_083267_/A,_083267_,pin,cell
_083267_/B,_083267_,pin,cell
_083267_/C1,_083267_,pin,cell
_083267_/C2,_083267_,pin,cell
_083267_,_083267_/ZN,cell,pin
_083268_/A,_083268_,pin,cell
_083268_,_083268_/ZN,cell,pin
_083269_/A,_083269_,pin,cell
_083269_/B1,_083269_,pin,cell
_083269_/B2,_083269_,pin,cell
_083269_,_083269_/ZN,cell,pin
_083270_/A,_083270_,pin,cell
_083270_,_083270_/ZN,cell,pin
_083271_/A,_083271_,pin,cell
_083271_,_083271_/ZN,cell,pin
_083272_/A,_083272_,pin,cell
_083272_,_083272_/ZN,cell,pin
_083273_/A1,_083273_,pin,cell
_083273_/A2,_083273_,pin,cell
_083273_/A3,_083273_,pin,cell
_083273_,_083273_/ZN,cell,pin
_083274_/A1,_083274_,pin,cell
_083274_/A2,_083274_,pin,cell
_083274_/A3,_083274_,pin,cell
_083274_,_083274_/ZN,cell,pin
_083275_/A1,_083275_,pin,cell
_083275_/A2,_083275_,pin,cell
_083275_/A3,_083275_,pin,cell
_083275_,_083275_/ZN,cell,pin
_083276_/A,_083276_,pin,cell
_083276_/B,_083276_,pin,cell
_083276_/C1,_083276_,pin,cell
_083276_/C2,_083276_,pin,cell
_083276_,_083276_/ZN,cell,pin
_083277_/A,_083277_,pin,cell
_083277_,_083277_/ZN,cell,pin
_083278_/A1,_083278_,pin,cell
_083278_/A2,_083278_,pin,cell
_083278_/B1,_083278_,pin,cell
_083278_/B2,_083278_,pin,cell
_083278_,_083278_/ZN,cell,pin
_083279_/A,_083279_,pin,cell
_083279_,_083279_/ZN,cell,pin
_083280_/A,_083280_,pin,cell
_083280_/B,_083280_,pin,cell
_083280_/C1,_083280_,pin,cell
_083280_/C2,_083280_,pin,cell
_083280_,_083280_/ZN,cell,pin
_083281_/A,_083281_,pin,cell
_083281_/B,_083281_,pin,cell
_083281_/C1,_083281_,pin,cell
_083281_/C2,_083281_,pin,cell
_083281_,_083281_/ZN,cell,pin
_083282_/A,_083282_,pin,cell
_083282_,_083282_/ZN,cell,pin
_083283_/A1,_083283_,pin,cell
_083283_/A2,_083283_,pin,cell
_083283_/B1,_083283_,pin,cell
_083283_/B2,_083283_,pin,cell
_083283_,_083283_/ZN,cell,pin
_083284_/A1,_083284_,pin,cell
_083284_/A2,_083284_,pin,cell
_083284_/A3,_083284_,pin,cell
_083284_/A4,_083284_,pin,cell
_083284_,_083284_/ZN,cell,pin
_083285_/A,_083285_,pin,cell
_083285_,_083285_/Z,cell,pin
_083286_/A,_083286_,pin,cell
_083286_/B,_083286_,pin,cell
_083286_/C1,_083286_,pin,cell
_083286_/C2,_083286_,pin,cell
_083286_,_083286_/ZN,cell,pin
_083287_/A,_083287_,pin,cell
_083287_,_083287_/ZN,cell,pin
_083288_/A,_083288_,pin,cell
_083288_/B1,_083288_,pin,cell
_083288_/B2,_083288_,pin,cell
_083288_,_083288_/ZN,cell,pin
_083289_/A,_083289_,pin,cell
_083289_,_083289_/ZN,cell,pin
_083290_/A,_083290_,pin,cell
_083290_,_083290_/ZN,cell,pin
_083291_/A1,_083291_,pin,cell
_083291_/A2,_083291_,pin,cell
_083291_/B1,_083291_,pin,cell
_083291_/B2,_083291_,pin,cell
_083291_,_083291_/ZN,cell,pin
_083292_/A,_083292_,pin,cell
_083292_,_083292_/ZN,cell,pin
_083293_/A1,_083293_,pin,cell
_083293_/A2,_083293_,pin,cell
_083293_/A3,_083293_,pin,cell
_083293_,_083293_/ZN,cell,pin
_083294_/A,_083294_,pin,cell
_083294_,_083294_/ZN,cell,pin
_083295_/A1,_083295_,pin,cell
_083295_/A2,_083295_,pin,cell
_083295_/B1,_083295_,pin,cell
_083295_/B2,_083295_,pin,cell
_083295_,_083295_/ZN,cell,pin
_083296_/A,_083296_,pin,cell
_083296_,_083296_/ZN,cell,pin
_083297_/A,_083297_,pin,cell
_083297_,_083297_/ZN,cell,pin
_083298_/A1,_083298_,pin,cell
_083298_/A2,_083298_,pin,cell
_083298_/B1,_083298_,pin,cell
_083298_/B2,_083298_,pin,cell
_083298_,_083298_/ZN,cell,pin
_083299_/A1,_083299_,pin,cell
_083299_/A2,_083299_,pin,cell
_083299_/A3,_083299_,pin,cell
_083299_/A4,_083299_,pin,cell
_083299_,_083299_/ZN,cell,pin
_083300_/A,_083300_,pin,cell
_083300_,_083300_/Z,cell,pin
_083301_/A1,_083301_,pin,cell
_083301_/A2,_083301_,pin,cell
_083301_,_083301_/ZN,cell,pin
_083302_/A,_083302_,pin,cell
_083302_,_083302_/ZN,cell,pin
_083303_/A1,_083303_,pin,cell
_083303_/A2,_083303_,pin,cell
_083303_,_083303_/ZN,cell,pin
_083304_/A1,_083304_,pin,cell
_083304_/A2,_083304_,pin,cell
_083304_/A3,_083304_,pin,cell
_083304_,_083304_/ZN,cell,pin
_083305_/A,_083305_,pin,cell
_083305_,_083305_/Z,cell,pin
_083306_/A1,_083306_,pin,cell
_083306_/A2,_083306_,pin,cell
