pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_28032_/ZN,262950,272586,0,-1,0,0,1,2.6702900009440214e-14,2.2699998825093104e-10,0,_28032_,_03357_,2.436815679796034e-11,2.3624907585784172e-11,3.916871549325407e-10,3.973291973213833e-10,-1
_28033_/A,261955,273175,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28033_,_03356_,3.9388228789682955e-11,6.199288304920003e-11,3.839248363668446e-10,3.5015332300325497e-10,1.6263519631227238e-15
_28033_/B1,261590,273175,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28033_,net2529,2.2264452434472837e-11,-6.83678114121733e-12,4.429206168499178e-10,4.27859830898214e-10,1.6470030498932572e-15
_28033_/B2,260940,273175,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28033_,_03357_,2.4368163736854243e-11,2.3624907585784172e-11,3.917320912094624e-10,3.9736750001573284e-10,1.6768529144709724e-15
_28033_/ZN,261465,273458,0,-1,0,0,1,2.532959871579324e-14,2.2699998825093104e-10,0,_28033_,_03358_,3.149051158723992e-11,-6.836753385641714e-12,4.701779521276706e-10,4.65178506825481e-10,-1
_28034_/A1,257775,312375,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28034_,net2619,2.2335579566434838e-11,9.42094735556509e-11,3.768850787011502e-10,3.530584435917916e-10,1.5990320800793388e-15
_28034_/A2,257125,312375,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28034_,_01933_,4.133376974024827e-11,7.701161930384615e-11,3.7943789776839765e-10,3.7191619228771344e-10,1.664198983392822e-15
_28034_/ZN,257630,312613,0,-1,0,0,1,5.935670114058308e-14,2.2699998825093104e-10,0,_28034_,_03359_,1.0674782238706548e-11,7.701161930384615e-11,3.901202694223116e-10,3.9806846707790555e-10,-1
_28035_/A1,258915,309225,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28035_,_01884_,1.857609552291528e-11,6.557335230361616e-11,4.048082702379219e-10,4.4541140220566433e-10,1.679872057532342e-15
_28035_/A2,259295,309225,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28035_,_02516_,1.6240956496327286e-11,1.5358098126583286e-10,3.150537608576087e-10,3.4645938895572215e-10,1.617460023000685e-15
_28035_/A3,259675,309225,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28035_,_03326_,2.985394917387474e-11,9.088121921685399e-11,3.7105846173446366e-10,3.491247846376666e-10,1.5734389795780501e-15
_28035_/B1,258265,309225,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28035_,_03358_,3.1490643426224096e-11,-6.83678114121733e-12,4.704041600689379e-10,4.653843421742465e-10,1.6512750605627343e-15
_28035_/B2,257885,309225,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28035_,_03359_,1.0674783973430024e-11,7.701161930384615e-11,3.901453049515169e-10,3.980914209389397e-10,1.6119989898314997e-15
_28035_/B3,257505,309225,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28035_,net435,1.4053780708622732e-11,1.4990572672068936e-10,3.1472494055329037e-10,2.8157506881676397e-10,1.581480075104572e-15
_28035_/ZN,259150,308916,0,-1,0,0,1,1.1482199909027425e-14,2.2699998825093104e-10,0,_28035_,_03360_,7.066704166280857e-11,-6.836753385641714e-12,5.478971165651103e-10,5.014139103920456e-10,-1
_28036_/A1,311735,303625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28036_,net2620,1.286870696809439e-11,-6.749645287129624e-11,4.406501552534081e-10,4.2408931921755766e-10,1.679872057532342e-15
_28036_/A2,312115,303625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28036_,_02005_,2.535845318452079e-11,-4.42594572103161e-11,4.0949785229393854e-10,3.873905085605145e-10,1.617460023000685e-15
_28036_/A3,312495,303625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28036_,_02006_,2.686999234224885e-11,-1.0816791906620438e-11,3.7386027607055894e-10,4.1414294216224334e-10,1.5734389795780501e-15
_28036_/B1,311085,303625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28036_,_02037_,1.7383322212238816e-11,-5.23389664941476e-12,3.730682984759426e-10,3.9487002556626294e-10,1.6512750605627343e-15
_28036_/B2,310705,303625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28036_,_01998_,2.7791819193212497e-11,-1.722469389342507e-11,3.789966951384116e-10,4.253283003574637e-10,1.6119989898314997e-15
_28036_/B3,310325,303625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28036_,net1044,1.1129028254508455e-11,-3.302674800309546e-11,3.98748367658186e-10,3.6303043904339916e-10,1.581480075104572e-15
_28036_/ZN,311970,303316,0,-1,0,0,1,1.1482199909027425e-14,2.2699998825093104e-10,0,_28036_,_03361_,9.690848817855979e-11,-6.749648062687186e-11,5.534166458431855e-10,4.685389853875677e-10,-1
_28037_/A1,307175,306775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28037_,_01984_,2.0516675164339304e-11,-2.0332235894926498e-11,3.741731646744739e-10,4.0363043463109705e-10,1.6710430096066368e-15
_28037_/A2,307555,306775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28037_,_01902_,1.8459843029172696e-11,-6.115322137567603e-11,4.1329242805865363e-10,4.252600493970249e-10,1.584236955589648e-15
_28037_/B1,306525,306775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28037_,_01969_,1.9233252143702195e-11,-4.9905107823988715e-11,4.0222694619451715e-10,4.113598073285374e-10,1.6654479334735485e-15
_28037_/B2,306145,306775,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28037_,_01892_,3.2164580027194134e-11,-3.763966915926176e-11,3.836405360058137e-10,4.121994412464858e-10,1.6156109500768288e-15
_28037_/ZN,306957,306855,0,-1,0,0,1,2.3231501493576126e-14,2.2699998825093104e-10,0,_28037_,_03362_,5.294512051001732e-11,-6.115322137567603e-11,4.923016438951322e-10,4.441944867483727e-10,-1
_28038_/A1,305003,303423,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28038_,_03344_,1.1236097989530958e-11,-7.11496139782497e-11,4.374333950618592e-10,4.637270289986617e-10,6.773058828878466e-15
_28038_/A2,304988,304010,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_28038_,_01900_,2.319190846311603e-11,-1.0570461173031731e-11,3.7302938515892947e-10,3.950704485777834e-10,6.683365663060761e-15
