pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_17160_/Z,92510,219780,0,-1,0,0,1,6.050109686243227e-14,2.2699998825093104e-10,0,_17160_,_11254_,7.645484072227315e-12,-1.3892276218285815e-10,7.124881795661508e-10,7.380414057678308e-10,-1
_17161_/A,91070,216825,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17161_,_11253_,7.528368553555431e-12,-1.383570480406604e-10,7.12264247582084e-10,7.378506694522002e-10,9.464199816368573e-16
_17161_/B,92210,216825,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17161_,_11254_,7.645484939589053e-12,-1.3892276218285815e-10,7.125031675769833e-10,7.380557276448485e-10,9.44774937774171e-16
_17161_/S,91113,217043,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17161_,_10742_,2.6050012841283277e-11,-9.510403575774262e-11,6.915175099209137e-10,6.555787024353776e-10,1.919942052970537e-15
_17161_/Z,92890,217020,0,-1,0,0,1,6.050109686243227e-14,2.2699998825093104e-10,0,_17161_,_11255_,1.2256138812172246e-11,-1.3892276218285815e-10,7.524920686563519e-10,8.003395168820759e-10,-1
_17162_/A,124510,205625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17162_,_11252_,1.0563422532527955e-11,-1.3660444997398713e-10,7.514754929438539e-10,7.989648942441363e-10,9.464199816368573e-16
_17162_/B,125650,205625,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17162_,_11255_,1.2256471011717895e-11,-1.3892276218285815e-10,7.52724216290801e-10,8.005672791355778e-10,9.44774937774171e-16
_17162_/S,124553,205843,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17162_,_10594_,1.479735257936543e-11,-5.4495630230633196e-11,7.161042314685062e-10,7.227575760104799e-10,1.919942052970537e-15
_17162_/Z,126330,205820,0,-1,0,0,1,6.050109686243227e-14,2.2699998825093104e-10,0,_17162_,_11256_,1.871103445794109e-11,-1.3892276218285815e-10,8.024501063630396e-10,8.706748655384899e-10,-1
_17163_/A1,139225,205763,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17163_,_11085_,3.8187678713663686e-11,9.380518584123365e-11,6.786384232349008e-10,6.496941318268057e-10,6.418618315616378e-15
_17163_/A2,139255,205428,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17163_,_11249_,2.1755323237337976e-11,-1.2303114083067612e-10,8.018981589863472e-10,8.602979995053772e-10,6.7809311530902475e-15
_17163_/B1,136205,205763,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17163_,_11256_,1.871138313735976e-11,-1.3892276218285815e-10,8.02699851032429e-10,8.70920446871537e-10,6.0901270802098985e-15
_17163_/B2,136161,205428,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17163_,_11086_,3.7131752533836604e-11,-3.525879588295311e-11,7.718364281039669e-10,7.633462750789022e-10,6.6050977011520955e-15
_17163_/ZN,138692,205968,0,-1,0,0,1,9.796140000529682e-14,2.2699998825093104e-10,0,_17163_,_11257_,3.3166535490236626e-11,-1.3892276218285815e-10,9.241347687094503e-10,8.289508524050859e-10,-1
_17164_/A1,231670,216825,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17164_,_11242_,6.077655045899633e-11,-1.4283663141156921e-10,9.207312690051594e-10,9.088042540739139e-10,5.9549651857835825e-15
_17164_/A2,230410,216825,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17164_,_11257_,3.3173071928294107e-11,-1.3892276218285815e-10,9.257091759806713e-10,8.304231746691926e-10,6.2018498789197934e-15
_17164_/ZN,231530,217114,0,-1,0,0,1,2.374269942977125e-13,2.2699998825093104e-10,0,_17164_,_11258_,2.7149166595408225e-11,-1.4283663141156921e-10,9.527456601432505e-10,9.65358681881412e-10,-1
_17165_/A,291265,200060,0,-1,0,0,0,0.0,2.2699998825093104e-10,0,_17165_,_10432_,2.639838347917589e-11,3.019806626980426e-11,8.282508567880598e-10,7.928931955447638e-10,3.1364058790709585e-15
