pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
dp.rf.rf\[31\]\[15\]$_DFFE_PP_/D,113750,61370,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[15\]$_DFFE_PP_,_00777_,1.8938588197681128e-10,-6.175574274180917e-09,6.705147548302648e-09,7.336171670146996e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[15\]$_DFFE_PP_/Q,119353,61373,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[15\]$_DFFE_PP_,dp.rf.rf\[31\]\[15\],8.217658498121949e-11,-5.92926063802679e-09,1.1093859164645892e-09,1.0870627731307536e-09,-1
dp.rf.rf\[31\]\[15\]$_DFFE_PP_/CLK,112505,61260,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[15\]$_DFFE_PP_,clknet_leaf_93_clk,6.046466799469741e-11,-5.92926063802679e-09,7.71919028696999e-10,7.066718876735933e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[16\]$_DFFE_PP_/D,247150,134470,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[16\]$_DFFE_PP_,_00778_,1.8486762121128208e-10,-6.345260317175416e-09,6.938658092536798e-09,7.392339629319622e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[16\]$_DFFE_PP_/Q,252753,134466,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[16\]$_DFFE_PP_,dp.rf.rf\[31\]\[16\],9.332820627427907e-11,-5.478390630031527e-09,1.074170530301899e-09,1.0492077207047146e-09,-1
dp.rf.rf\[31\]\[16\]$_DFFE_PP_/CLK,245905,134580,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[16\]$_DFFE_PP_,clknet_leaf_76_clk,5.812453643394555e-11,-5.478390185942317e-09,7.291458548053242e-10,6.794952933653065e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[17\]$_DFFE_PP_/D,53490,216070,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[17\]$_DFFE_PP_,_00779_,1.0454069554466372e-10,-5.938190383858455e-09,6.8460992430630085e-09,7.190337658613544e-09,1.6809999877807295e-15
dp.rf.rf\[31\]\[17\]$_DFFE_PP_/Q,59093,216066,0,-1,0,0,1,1.6205798909849772e-13,1.4979509854740058e-09,0,dp.rf.rf\[31\]\[17\]$_DFFE_PP_,dp.rf.rf\[31\]\[17\],9.251586996494865e-11,-5.826067628333931e-09,1.0702361219472323e-09,1.0447365195176417e-09,-1
dp.rf.rf\[31\]\[17\]$_DFFE_PP_/CLK,52245,216180,1,-1,1,0,0,0.0,1.4999999020659516e-09,0,dp.rf.rf\[31\]\[17\]$_DFFE_PP_,clknet_leaf_19_clk,5.345956663460605e-11,-5.826067628333931e-09,7.275395841332966e-10,6.770206617545682e-10,1.8770000236435855e-15
dp.rf.rf\[31\]\[18\]$_DFFE_PP_/D,266470,6970,0,-1,0,1,0,0.0,1.4999999020659516e-09,1,dp.rf.rf\[31\]\[18\]$_DFFE_PP_,_00780_,1.4534481951322675e-10,-6.201428703889178e-09,7.156223169602072e-09,7.328710083243095e-09,1.6809999877807295e-15
