pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_5762_/B1,54575,45807,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5762_,net6314,9.522814828355486e-12,-1.843009356239378e-10,3.048780672365581e-10,3.0553365393259924e-10,6.093810191222797e-16
_5762_/B2,54513,45783,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5762_,net6310,8.666027097314899e-12,-1.9721940747174926e-10,3.174661089566655e-10,3.185924024595721e-10,6.487659865267957e-16
_5762_/Y,54808,45765,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_5762_,net21470,2.510510896391871e-11,-1.9721942134953707e-10,3.4282943150998335e-10,3.4538585880206085e-10,-1
_5763_/A1,53979,45225,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5763_,net6322,1.9178591006974166e-11,-1.9721940747174926e-10,2.969232637539676e-10,2.9935667833491664e-10,1.1976398952762341e-15
_5763_/A2,54017,45204,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5763_,net9118,2.1418609941203925e-11,-1.8724669037517572e-10,2.8713040278738333e-10,2.8837127130643125e-10,1.335190104976452e-15
_5763_/B1,53804,45243,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5763_,net7710,2.5679906118236673e-11,-1.9718640609234228e-10,2.972335433337747e-10,2.938450593958919e-10,1.1043900381130082e-15
_5763_/B2,53766,45218,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5763_,net14034,8.693543281090843e-12,-1.9252224814358954e-10,2.95632546221114e-10,2.9218472086256497e-10,1.2492599889060425e-15
_5763_/Y,54024,45207,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_5763_,net6329,1.9404625475893944e-11,-1.9721940747174926e-10,3.112799462634541e-10,3.097851419830988e-10,-1
_5764_/A,19936,41427,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5764_,net15457,1.7810341743085267e-11,-1.9811464968544357e-10,3.6984498796854837e-10,3.674124338104434e-10,1.3903600078090847e-15
_5764_/B,19776,41427,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5764_,net15456,1.486394861360818e-11,-2.0310009229973502e-10,3.718891583570638e-10,3.7058511814791473e-10,1.3561100188286203e-15
_5764_/C,19564,41427,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5764_,net15453,2.712066335397445e-11,-1.9788264082887252e-10,3.592373620797673e-10,3.6090286315015874e-10,1.303890014113919e-15
_5764_/Y,19978,41427,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_5764_,net15458,2.2747496594699435e-11,-2.0310009229973502e-10,3.8660602497131435e-10,3.8328448748181643e-10,-1
_5765_/A,54739,45495,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5765_,net12299,2.3460854786661045e-11,-1.843009495017256e-10,2.979310687045711e-10,2.965258316667274e-10,6.837159952986067e-16
_5765_/Y,54826,45495,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_5765_,net6314,9.522762786651207e-12,-1.843009356239378e-10,3.0486607682789213e-10,3.0552180230181136e-10,-1
_5766_/A1,29295,34407,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5766_,net6352,1.6477751454968548e-11,-1.7702925236839917e-10,4.2537187661118026e-10,4.335697356694368e-10,6.183570272643335e-16
_5766_/A2,29403,34407,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5766_,net6340,1.533559564059761e-11,-1.8847157168266904e-10,4.4092907103276957e-10,4.4374348640019434e-10,6.484900126046684e-16
_5766_/B,29467,34409,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5766_,net3927,1.5382662157947813e-11,-6.222444781656122e-11,3.1462613070409873e-10,3.195510522857603e-10,6.363210078888211e-16
_5766_/Y,29590,34425,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_5766_,net11519,8.386917028924135e-12,-1.8847157168266904e-10,4.5881226595767544e-10,4.6298301303870915e-10,-1
_5767_/A1,29241,34713,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5767_,net6352,1.6477881559229246e-11,-1.8180038030557455e-10,4.25380702884226e-10,4.3357867296478503e-10,6.183570272643335e-16
_5767_/A2,29349,34713,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5767_,net6340,1.5335684111494885e-11,-1.9264673190022563e-10,4.409352050149806e-10,4.437495926268298e-10,6.484900126046684e-16
_5767_/B,29413,34710,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5767_,net3927,1.539329601285555e-11,-6.42894348867884e-11,3.146354843330812e-10,3.195600728478354e-10,6.363210078888211e-16
_5767_/Y,29536,34695,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_5767_,net7600,1.190127944111774e-11,-1.9264673190022563e-10,4.608392556448848e-10,4.648938178863915e-10,-1
_5768_/A1,29700,34190,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5768_,net9802,2.4936656906060506e-11,-1.2981252184296466e-10,3.667766368398162e-10,3.6737446418300124e-10,1.2392100488659887e-15
_5768_/A2,29699,34155,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5768_,net9807,1.680497407896553e-11,-9.657566413245888e-11,3.3880312444445337e-10,3.332255860133415e-10,1.0789199691473082e-15
_5768_/B,29700,34124,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5768_,net9810,1.7004555749600136e-11,-1.8180038030557455e-10,4.2268100131082065e-10,4.179104284851576e-10,1.378890017032959e-15
_5768_/Y,29700,34135,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_5768_,net6352,1.6477581452067902e-11,-1.8180038030557455e-10,4.2534437083574517e-10,4.335418968270943e-10,-1
_5769_/A,29251,33898,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5769_,net9806,1.3746215103693782e-11,-1.9264673190022563e-10,4.3122896919989273e-10,4.292790012350167e-10,1.0713700468510754e-15
_5769_/B,29355,33885,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5769_,net9807,1.6804216004806527e-11,-9.970596570596513e-11,3.387644331720452e-10,3.3318711678553825e-10,1.0873700757082355e-15
_5769_/Y,29464,33903,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_5769_,net6340,1.533539788212135e-11,-1.9264673190022563e-10,4.4089809581038253e-10,4.437125111778073e-10,-1
_576_/A,32166,26055,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_576_,net26694,1.766070796549446e-11,-1.9321363953217485e-10,3.683577054491849e-10,3.7095937432951587e-10,6.935129901247867e-16
_576_/Y,32379,26055,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_576_,net1670,1.0311983038302497e-11,-1.9321363953217485e-10,3.8570352467459657e-10,3.880332721806212e-10,-1
_5770_/A1,41349,44941,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5770_,net4008,1.4690240343617766e-11,-1.8639571830458834e-10,2.2457907755679685e-10,2.199269932834369e-10,5.727040160501357e-16
_5770_/A2,41438,44955,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5770_,net6364,1.0394705061977927e-11,-1.9236824633228622e-10,2.2545021405306898e-10,2.2746654559924195e-10,6.224430083227699e-16
_5770_/B1,41561,44912,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5770_,net19423,2.9743568719098334e-11,-1.9880722068599255e-10,2.2294292800761895e-10,2.2829231560717034e-10,6.093810191222797e-16
_5770_/B2,41499,44937,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5770_,net15894,2.3008881258612668e-11,-1.9544491025591526e-10,2.2701010515824294e-10,2.2769384988574615e-10,6.487659865267957e-16
_5770_/Y,41794,44955,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_5770_,net13232,1.7519886583161615e-11,-1.9880722068599255e-10,2.521546305089828e-10,2.577361379874077e-10,-1
_5771_/A,41185,44955,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_5771_,net15896,1.7514786496142243e-11,-1.9236824633228622e-10,2.1925690429913658e-10,2.165032181311588e-10,4.855009682786806e-16
