src,tar,src_type,tar_type
net14352,_10199_,net,cell
_10199_,net19553,cell,net
net3851,_1019_,net,cell
_1019_,net12566,cell,net
net12938,_101_,net,cell
_101_,net309,cell,net
net29682,_10200_,net,cell
net228,_10200_,net,cell
net14716,_10200_,net,cell
_10200_,net14546,cell,net
net14833,_10201_,net,cell
net3577,_10201_,net,cell
net1590,_10201_,net,cell
_10201_,net15099,cell,net
net29918,_10202_,net,cell
net30515,_10202_,net,cell
net5361,_10202_,net,cell
_10202_,net19659,cell,net
net19431,_10203_,net,cell
net22452,_10203_,net,cell
net19433,_10203_,net,cell
_10203_,net19434,cell,net
net14765,_10204_,net,cell
net13687,_10204_,net,cell
_10204_,net19420,cell,net
net30122,_10205_,net,cell
net1935,_10205_,net,cell
net1390,_10205_,net,cell
_10205_,net14573,cell,net
net14441,_10206_,net,cell
_10206_,net14442,cell,net
net1749,_10207_,net,cell
net14440,_10207_,net,cell
net14438,_10207_,net,cell
net14439,_10207_,net,cell
_10207_,net14441,cell,net
net14367,_10208_,net,cell
net22472,_10208_,net,cell
_10208_,net14369,cell,net
net28483,_10209_,net,cell
net19,_10209_,net,cell
net28531,_10209_,net,cell
net3945,_10209_,net,cell
_10209_,net14367,cell,net
net3851,_1020_,net,cell
_1020_,net3304,cell,net
net13595,_10210_,net,cell
net19749,_10210_,net,cell
_10210_,net19450,cell,net
net13595,_10211_,net,cell
net13596,_10211_,net,cell
_10211_,net19449,cell,net
net22619,_10212_,net,cell
net3974,_10212_,net,cell
net14211,_10212_,net,cell
_10212_,net14212,cell,net
net14210,_10213_,net,cell
net30283,_10213_,net,cell
net30561,_10213_,net,cell
_10213_,net14211,cell,net
net15117,_10214_,net,cell
net4917,_10214_,net,cell
_10214_,net19482,cell,net
net5359,_10215_,net,cell
net1444,_10215_,net,cell
net13897,_10215_,net,cell
_10215_,net19742,cell,net
net14655,_10216_,net,cell
net30250,_10216_,net,cell
net30256,_10216_,net,cell
_10216_,net14209,cell,net
net27907,_10217_,net,cell
net27874,_10217_,net,cell
net15077,_10217_,net,cell
_10217_,net14561,cell,net
net1267,_10218_,net,cell
net5218,_10218_,net,cell
_10218_,net22550,cell,net
net15916,_10219_,net,cell
net12662,_10219_,net,cell
_10219_,net16221,cell,net
net3851,_1021_,net,cell
_1021_,net2166,cell,net
net14655,_10220_,net,cell
net297,_10220_,net,cell
_10220_,net14214,cell,net
net30256,_10221_,net,cell
_10221_,net14210,cell,net
net30229,_10222_,net,cell
net30208,_10222_,net,cell
_10222_,net30256,cell,net
net184,_10223_,net,cell
net19874,_10223_,net,cell
net19877,_10223_,net,cell
_10223_,net19878,cell,net
net15113,_10224_,net,cell
net19872,_10224_,net,cell
net19873,_10224_,net,cell
_10224_,net19877,cell,net
net19869,_10225_,net,cell
_10225_,net19873,cell,net
net19871,_10226_,net,cell
net19870,_10226_,net,cell
net1697,_10226_,net,cell
net19179,_10226_,net,cell
_10226_,net19872,cell,net
net15113,_10227_,net,cell
_10227_,net19874,cell,net
net26171,_10228_,net,cell
_10228_,net16220,cell,net
net19179,_10229_,net,cell
_10229_,net19871,cell,net
net3851,_1022_,net,cell
_1022_,net1168,cell,net
net15175,_10230_,net,cell
_10230_,net15176,cell,net
net30483,_10231_,net,cell
net30479,_10231_,net,cell
net4414,_10231_,net,cell
_10231_,net14507,cell,net
net14279,_10232_,net,cell
net14276,_10232_,net,cell
net14282,_10232_,net,cell
net14283,_10232_,net,cell
_10232_,net14284,cell,net
net14280,_10233_,net,cell
net14281,_10233_,net,cell
_10233_,net14283,cell,net
net14277,_10234_,net,cell
net14278,_10234_,net,cell
_10234_,net14279,cell,net
net14274,_10235_,net,cell
net21761,_10235_,net,cell
net21760,_10235_,net,cell
_10235_,net14276,cell,net
net1682,_10236_,net,cell
net21761,_10236_,net,cell
net21760,_10236_,net,cell
_10236_,net5307,cell,net
net21754,_10237_,net,cell
net1456,_10237_,net,cell
net30217,_10237_,net,cell
_10237_,net14277,cell,net
net1443,_10238_,net,cell
net30190,_10238_,net,cell
net1850,_10238_,net,cell
_10238_,net14280,cell,net
net1473,_10239_,net,cell
net13806,_10239_,net,cell
net4625,_10239_,net,cell
net13798,_10239_,net,cell
_10239_,net15173,cell,net
net3851,_1023_,net,cell
_1023_,net1169,cell,net
net1473,_10240_,net,cell
net13806,_10240_,net,cell
net4625,_10240_,net,cell
